epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,284.028,1.32759,2.01859,1.1982,0.17853,0.07764,0.06488,0.03103,1.72496,3.14076,1.83896,0.000657005,0.000657005,0.000657005
2,593.495,1.48106,1.55405,1.27741,0.59219,0.45398,0.46181,0.22932,1.72594,2.21889,1.64031,0.00131057,0.00131057,0.00131057
3,882.098,1.50609,1.52817,1.29933,0.40767,0.51863,0.37579,0.1949,1.58883,2.13085,1.59545,0.00195093,0.00195093,0.00195093
4,1173.07,1.44849,1.45377,1.27689,0.6386,0.59938,0.62021,0.33036,1.43851,1.75699,1.39793,0.0019406,0.0019406,0.0019406
5,1441.45,1.43079,1.35768,1.27092,0.55261,0.40994,0.42657,0.22497,1.66448,1.90147,1.66667,0.0019208,0.0019208,0.0019208
6,1706.62,1.46162,1.34745,1.30404,0.61899,0.46066,0.50405,0.2568,1.73492,1.76808,1.74025,0.001901,0.001901,0.001901
7,1973.12,1.47247,1.27146,1.27317,0.59039,0.50725,0.52268,0.23974,1.96548,1.89602,1.94664,0.0018812,0.0018812,0.0018812
8,2237.42,1.45035,1.28411,1.28399,0.72977,0.55694,0.63507,0.36419,1.41501,1.28741,1.35684,0.0018614,0.0018614,0.0018614
9,2502.26,1.43754,1.22203,1.25524,0.6966,0.64907,0.68502,0.39863,1.36463,1.19338,1.30701,0.0018416,0.0018416,0.0018416
10,2767.28,1.39417,1.23353,1.25816,0.66623,0.55072,0.60351,0.32618,1.52928,1.46267,1.49616,0.0018218,0.0018218,0.0018218
11,3055.56,1.36786,1.20611,1.24416,0.76128,0.62319,0.69811,0.38127,1.4675,1.18378,1.387,0.001802,0.001802,0.001802
12,3315.09,1.40171,1.13425,1.22326,0.75941,0.60145,0.68481,0.39197,1.36702,1.16999,1.34199,0.0017822,0.0017822,0.0017822
13,3574.43,1.35306,1.07084,1.20851,0.7384,0.66667,0.71279,0.40941,1.34084,1.11281,1.3152,0.0017624,0.0017624,0.0017624
14,3829.59,1.35298,1.07182,1.19319,0.74366,0.67572,0.72809,0.41632,1.36092,1.12482,1.35674,0.0017426,0.0017426,0.0017426
15,4081.03,1.31272,1.03006,1.19328,0.74232,0.62319,0.67906,0.36162,1.5303,1.33689,1.54374,0.0017228,0.0017228,0.0017228
16,4331.76,1.2931,1.00306,1.18236,0.75779,0.64128,0.7067,0.40451,1.36977,1.1617,1.37165,0.001703,0.001703,0.001703
17,4580.94,1.28938,1.02569,1.20461,0.7672,0.66667,0.74097,0.44105,1.3258,1.05661,1.32758,0.0016832,0.0016832,0.0016832
18,4832.25,1.26804,1.02306,1.20089,0.73637,0.63903,0.68761,0.39476,1.37309,1.20606,1.3564,0.0016634,0.0016634,0.0016634
19,5084.17,1.33547,1.03051,1.19783,0.79114,0.57642,0.65171,0.37361,1.37569,1.30979,1.37254,0.0016436,0.0016436,0.0016436
20,5336.18,1.28842,1.04218,1.20325,0.66455,0.6337,0.60436,0.34228,1.46942,1.29094,1.52484,0.0016238,0.0016238,0.0016238
21,5589.45,1.29316,0.97464,1.17545,0.81349,0.70889,0.77734,0.4696,1.2152,0.88929,1.22387,0.001604,0.001604,0.001604
22,5839.53,1.26775,0.98677,1.17022,0.75886,0.65481,0.72985,0.43803,1.26669,1.02636,1.26489,0.0015842,0.0015842,0.0015842
23,6090.95,1.26206,0.99485,1.17919,0.80668,0.66977,0.75568,0.43501,1.32734,1.00241,1.30962,0.0015644,0.0015644,0.0015644
24,6339.51,1.26736,0.96111,1.20072,0.77013,0.69016,0.75586,0.45491,1.26373,0.92081,1.26377,0.0015446,0.0015446,0.0015446
25,6591.94,1.29441,0.98337,1.1737,0.76568,0.65114,0.71543,0.42126,1.33101,1.01923,1.30725,0.0015248,0.0015248,0.0015248
26,6845.71,1.26378,0.97232,1.18603,0.80119,0.66333,0.7489,0.44509,1.29405,0.97728,1.3091,0.001505,0.001505,0.001505
27,7099.01,1.26612,0.96882,1.18083,0.77714,0.68228,0.7545,0.4523,1.27034,1.00334,1.27714,0.0014852,0.0014852,0.0014852
